student_id,day_of_week,meal_time,meal_type,is_weekend,class_day,assignment_deadline,temperature,humidity,windspeed,rain,airquality,rising_time,sleeping_time,mess_duration
bt22btech11030,3,0,0,0,0,0,24.280394539817756,48.63430988383938,0.3936188234202215,0.3936188234202215,156.04138723932542,450.4774560089061,1369.7053718151092,13
bt22btech11030,3,0,0,0,0,0,23.03435730043416,49.48603691239914,0.0,0.0,154.24139539865868,447.05157734279584,1373.2325687156433,13
bt22btech11030,3,0,0,0,0,0,25.063384995047258,43.32614282818081,0.0,0.0,160.32777426385803,447.42309022220604,1369.2643144441324,13
bt22btech11030,3,0,0,0,0,0,21.675994191491874,49.8791557691873,0.27824291469240575,0.27824291469240575,157.9658008935362,449.7170099143951,1371.689692054891,13
bt22btech11030,3,0,0,0,0,0,21.768031232595455,46.48929340494019,0.0,0.0,154.38784453917472,447.73996149251565,1369.619643914656,13
bt22btech11030,3,0,0,0,0,0,26.465476283424387,47.59487658888988,0.0,0.0,155.72211619641496,451.74196985564026,1371.9762828807159,13
bt22btech11030,3,0,0,0,0,0,20.916351131677267,50.63625428228521,0.0,0.0,155.071463368099,448.98678142196144,1371.736871246833,13
bt22btech11030,3,0,0,0,0,0,23.801452293183722,47.36683881822119,0.1926696561470825,0.1926696561470825,155.2146490146971,446.5806240595893,1368.492891715512,13
bt22btech11030,3,0,0,0,0,0,22.34234642724748,44.73598497643832,0.0,0.0,157.94510747345265,446.7658982646018,1372.6885153599844,13
bt22btech11030,3,0,0,0,0,0,23.63565802498607,44.851915414948245,0.379033353976672,0.379033353976672,155.5476387769851,446.01997203999457,1371.4307900854285,13
me24btech11016,3,1,1,0,0,0,31.96360152812561,89.55235420230215,0.0,0.0,57.29155660862219,357.7902915706587,1361.0558453969031,45
me24btech11016,3,1,1,0,0,0,33.56362150537527,88.94184849423137,0.2654342559747383,0.2654342559747383,49.92598184158017,357.88533845758377,1360.1696798714413,45
me24btech11016,3,1,1,0,0,0,34.02977810291236,89.72952431289994,0.003706296974460255,0.003706296974460255,53.40000290763036,359.02552981953653,1359.5662975388211,45
me24btech11016,3,1,1,0,0,0,29.756604485129273,88.8080220025016,0.0,0.0,50.79637790326751,360.5257184685196,1362.5135767360775,45
me24btech11016,3,1,1,0,0,0,30.66258705019339,92.09343166513062,1.0948242801275216,1.0948242801275216,54.11430946071552,358.02425164967946,1363.062383900024,45
me24btech11016,3,1,1,0,0,0,39.69961116787083,89.66011244419101,0.6992437621374368,0.6992437621374368,54.354203772623734,360.5345131523076,1362.9380554431243,45
me24btech11016,3,1,1,0,0,0,31.094481551576195,86.08462265050879,0.0,0.0,55.25741421210727,356.54191063458546,1358.2650883437564,45
me24btech11016,3,1,1,0,0,0,29.83008933145511,91.24364394828768,0.0,0.0,51.00535882812327,355.0558218650298,1363.7771479494772,45
me24btech11016,3,1,1,0,0,0,30.16290939796404,93.42311985288123,0.9286926804086177,0.9286926804086177,54.322140494059,359.586405935978,1362.1258399542696,45
me24btech11016,3,1,1,0,0,0,31.106231090828256,89.92043992693726,0.0,0.0,51.71242737688409,359.44936621525926,1363.4988557920858,45
ma24btech11014,5,2,1,1,1,0,42.01196542961205,42.787621362880536,0.0,0.0,192.52442580015395,313.5063800142219,1435.4653390194342,54
ma24btech11014,5,2,1,1,1,0,42.32869990879922,40.762750611874466,0.4800655640133912,0.4800655640133912,191.44895511025544,314.36254085704354,1433.6981974331584,54
ma24btech11014,5,2,1,1,1,0,42.75458704773584,41.83761915708569,1.8150361281416596,1.8150361281416596,189.80374413563743,308.38284422134257,1431.411090962335,54
ma24btech11014,5,2,1,1,1,0,42.74062443060264,43.32826065498639,0.0,0.0,193.7774120436503,312.0611215353501,1431.4832573837457,54
ma24btech11014,5,2,1,1,1,0,40.886467160646575,44.58610076795774,0.0,0.0,191.81568865291493,315.23768571957913,1431.6390709102884,54
ma24btech11014,5,2,1,1,1,0,43.53610219750123,43.2145211938607,0.0,0.0,194.04802965701973,312.4838745925142,1432.637972109893,54
ma24btech11014,5,2,1,1,1,0,43.03953405495033,45.95860239307783,0.0,0.0,194.19086003772202,314.30086751951256,1431.022683002898,54
ma24btech11014,5,2,1,1,1,0,43.79060349628882,42.519461264102056,0.0,0.0,194.9554898710318,318.2053366508125,1429.5695957846826,54
ma24btech11014,5,2,1,1,1,0,39.368532047738654,40.079129628962825,0.0,0.0,191.31922528595396,315.04454456011047,1429.6322863586101,54
ma24btech11014,5,2,1,1,1,0,43.11112864257192,40.13640985442233,0.18748542274341948,0.18748542274341948,190.47500711517296,312.2797223954842,1432.9323433498787,54
ch24btech11050,1,2,1,0,0,0,27.99997247759397,67.22766896931891,0.6937755156041088,0.6937755156041088,151.77967353471735,297.4673921891202,1324.461343660734,56
ch24btech11050,1,2,1,0,0,0,31.620023320444844,66.77304945480572,0.15814253357852057,0.15814253357852057,149.58398113533144,302.4317462287045,1326.0196659185572,56
ch24btech11050,1,2,1,0,0,0,33.28703769490416,61.46963736886974,0.0,0.0,152.0760677153712,296.9532193852802,1324.6391053552843,56
ch24btech11050,1,2,1,0,0,0,34.062723412602736,64.33982912469172,0.0,0.0,147.01276631467792,299.4203609393779,1327.304784885898,56
ch24btech11050,1,2,1,0,0,0,32.64008523759201,64.41245788831849,0.0,0.0,150.75569586311133,299.51943160445387,1323.8214285189574,56
ch24btech11050,1,2,1,0,0,0,33.32194657998398,63.25577978896779,0.0,0.0,149.46455330155396,300.75856127811124,1325.6607937244385,56
ch24btech11050,1,2,1,0,0,0,31.373155185233085,61.93809939666644,0.0,0.0,149.2954319514733,301.54998896141797,1326.1041986300136,56
ch24btech11050,1,2,1,0,0,0,30.95282956954808,63.211637174366956,0.6317427392267546,0.6317427392267546,148.73510435794316,299.27440284196246,1325.1069565707555,56
